#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,World,"85,778,051","+283,095","1,855,641","+5,096","60,652,889","+206,305","23,269,521","107,394","11,005",238.1,,,,All,"
",,
1,USA,"21,144,403","+30,875","360,379 ",+301,"12,456,656","+19,698","8,327,368","29,375","63,689","1,086","258,356,195","778,200","331,992,130",North America,16,921,1
2,India,"10,355,660","+14,369","149,860 ",+174,"9,971,875","+25,744","233,925","8,944","7,467",108,"175,635,761","126,639","1,386,901,042",Asia,134,"9,255",8
3,Brazil,"7,734,867","+1,121","196,136 ",+118,"6,813,008",,"725,723","8,318","36,258",919,"28,600,000","134,065","213,328,992",South America,28,"1,088",7
4,Russia,"3,260,138","+23,351","58,988 ",+482,"2,640,036","+21,154","561,114","2,300","22,335",404,"91,800,000","628,912","145,966,482",Europe,45,"2,475",2
5,UK,"2,713,563","+58,784","75,431  ",+407,N/A,N/A,N/A,"1,847","39,866","1,108","56,665,511","832,485","68,067,881",Europe,25,902,1
6,France,"2,659,750","+4,022","65,415 ",+378,"196,037",+863,"2,398,298","2,666","40,702","1,001","36,125,326","552,820","65,347,330",Europe,25,999,2
7,Turkey,"2,255,607","+13,695","21,685 ",+197,"2,146,430","+9,896","87,492","3,522","26,599",256,"25,132,152","296,370","84,800,062",Asia,38,"3,911",3
8,Italy,"2,166,244","+10,800","75,680 ",+348,"1,520,106","+16,206","570,458","2,579","35,855","1,253","27,004,272","446,970","60,416,274",Europe,28,798,2
9,Spain,"1,936,718",,"50,837 ",,N/A,N/A,N/A,"2,018","41,415","1,087","27,839,319","595,315","46,764,045",Europe,24,920,2
10,Germany,"1,789,191","+5,031","35,398 ",+293,"1,401,200","+19,300","352,593","5,726","21,320",422,"34,801,593","414,696","83,920,769",Europe,47,"2,371",2
11,Colombia,"1,675,820",,"43,965 ",,"1,542,353",,"89,502","3,482","32,757",859,"8,238,961","161,048","51,158,403",South America,31,"1,164",6
12,Argentina,"1,640,718",,"43,482 ",,"1,452,960",,"144,276","3,433","36,134",958,"4,919,347","108,340","45,406,688",South America,28,"1,044",9
13,Mexico,"1,448,755","+5,211","127,213 ",+362,"1,098,431","+7,526","223,111","3,913","11,177",981,"3,670,800","28,319","129,620,985",North America,89,"1,019",35
14,Poland,"1,322,947","+4,432","29,161 ",+42,"1,069,554","+6,461","224,232","1,642","34,975",771,"7,307,919","193,201","37,825,379",Europe,29,"1,297",5
15,Iran,"1,249,507","+6,073","55,650 ",+110,"1,020,737","+7,719","173,120","4,901","14,780",658,"7,831,359","92,637","84,538,212",Asia,68,"1,519",11
16,South Africa,"1,100,748",,"29,577 ",,"903,679",,"167,492",546,"18,442",496,"6,742,853","112,968","59,688,004",Africa,54,"2,018",9
17,Ukraine,"1,078,251","+4,158","18,927 ",+73,"733,558","+4,693","325,766",177,"24,731",434,"5,585,615","128,114","43,598,744",Europe,40,"2,304",8
18,Peru,"1,019,475",,"37,830 ",,"958,682",,"22,963","1,286","30,703","1,139","5,555,591","167,314","33,204,606",South America,33,878,6
19,Netherlands,"827,726","+6,563","11,675 ",+63,N/A,N/A,N/A,715,"48,252",681,"6,001,738","349,869","17,154,249",Europe,21,"1,469",3
20,Indonesia,"772,103","+6,753","22,911 ",+177,"639,103","+7,166","110,089",,"2,808",83,"7,516,860","27,335","274,993,028",Asia,356,"12,003",37
21,Czechia,"746,714","+6,220","12,070 ",+59,"615,083",+78,"119,561",877,"69,662","1,126","3,848,064","358,990","10,719,137",Europe,14,888,3
22,Belgium,"650,011",+842,"19,701 ",+57,"44,894",+54,"585,416",467,"55,961","1,696","6,993,426","602,084","11,615,363",Europe,18,590,2
23,Romania,"643,559","+3,130","16,057 ",+78,"577,198","+2,301","50,304","1,100","33,568",838,"4,837,361","252,318","19,171,716",Europe,30,"1,194",4
24,Chile,"620,641","+2,450","16,767 ",,"586,900","+2,443","16,974",787,"32,326",873,"6,603,470","343,936","19,199,688",South America,31,"1,145",3
25,Canada,"607,476","+5,813","15,926 ",+61,"508,795","+3,819","82,755",711,"16,024",420,"14,041,448","370,384","37,910,496",North America,62,"2,380",3
26,Iraq,"598,369",+595,"12,844 ",+10,"545,529","+1,809","39,996",141,"14,710",316,"4,677,789","114,999","40,676,835",Asia,68,"3,167",9
27,Bangladesh,"516,019",,"7,626 ",,"460,598",,"47,795",,"3,118",46,"3,260,327","19,697","165,523,327",Asia,321,"21,705",51
28,Pakistan,"488,529","+1,895","10,350 ",+39,"442,457","+1,797","35,722","2,242","2,190",46,"6,849,867","30,709","223,056,596",Asia,457,"21,551",33
29,Philippines,"478,761",+959,"9,263 ",+6,"448,279",+26,"21,219",727,"4,340",84,"6,834,136","61,948","110,320,525",Asia,230,"11,910",16
30,Switzerland,"461,961","+9,665","7,905 ",+158,"317,600",,"136,456",405,"53,179",910,"3,709,321","427,004","8,686,854",Europe,19,"1,099",2
31,Israel,"445,845","+6,976","3,435 ",+19,"390,287","+3,207","52,123",793,"48,474",373,"8,255,440","897,566","9,197,590 ",Asia,21,"2,678",1
32,Morocco,"443,802",+656,"7,538 ",+53,"414,972","+1,579","21,292",774,"11,952",203,"4,507,292","121,384","37,132,611",Africa,84,"4,926",8
33,Sweden,"437,379",,"8,727 ",,N/A,N/A,N/A,363,"43,171",861,"4,516,665","445,810","10,131,359",Europe,23,"1,161",2
34,Portugal,"431,623","+4,369","7,196 ",+78,"344,419","+1,884","80,008",510,"42,393",707,"5,641,132","554,059","10,181,461",Europe,24,"1,415",2
35,Austria,"367,410","+1,642","6,357 ",+33,"340,273","+1,442","20,780",368,"40,676",704,"3,857,382","427,051","9,032,598",Europe,25,"1,421",2
36,Saudi Arabia,"363,155",+94,"6,256 ",+10,"354,609",+166,"2,290",347,"10,350",178,"11,103,188","316,436","35,088,272",Asia,97,"5,609",3
37,Serbia,"346,585","+2,715","3,364 ",+39,"31,536",,"311,685",259,"39,749",386,"2,331,636","267,411","8,719,309",Europe,25,"2,592",4
38,Hungary,"328,851",+856,"9,977 ",+93,"174,070","+5,689","144,804",400,"34,086","1,034","2,700,631","279,923","9,647,774",Europe,29,967,4
39,Jordan,"299,831","+1,623","3,919 ",+16,"278,929","+2,444","16,983",210,"29,239",382,"3,260,036","317,909","10,254,618",Asia,34,"2,617",3
40,Nepal,"262,262",+403,"1,885 ",+7,"255,088",+594,"5,289",,"8,920",64,"1,952,503","66,408","29,401,539",Asia,112,"15,598",15
41,Panama,"253,736",,"4,140 ",,"201,816",,"47,780",218,"58,342",952,"1,332,023","306,273","4,349,139",North America,17,"1,051",3
42,Japan,"243,847","+2,893","3,599 ",+51,"200,676","+2,190","39,572",731,"1,931",29,"4,953,004","39,223","126,277,878",Asia,518,"35,087",25
43,Georgia,"229,763",+594,"2,628 ",+25,"222,405","+1,963","4,730",,"57,653",659,"1,889,078","474,018","3,985,243",Asia,17,"1,516",2
44,Azerbaijan,"220,599",+334,"2,761 ",+28,"196,734","+1,891","21,104",,"21,658",271,"2,214,194","217,383","10,185,660",Asia,46,"3,689",5
45,UAE,"214,732","+1,501",682 ,+3,"191,455","+1,746","22,595",,"21,579",69,"21,430,011","2,153,544","9,951,043",Asia,46,"14,591",0
46,Ecuador,"214,614",,"14,059 ",,"190,350",,"10,205",393,"12,071",791,"755,929","42,519","17,778,686",South America,83,"1,265",24
47,Croatia,"213,319",+361,"4,126 ",+54,"203,294",+852,"5,899",196,"52,127","1,008","1,035,076","252,935","4,092,256",Europe,19,992,4
48,Bulgaria,"203,051",,"7,678 ",,"122,411",,"72,962",453,"29,336","1,109","1,162,942","168,018","6,921,540",Europe,34,901,6
49,Belarus,"201,831","+1,869","1,461 ",+10,"183,625",+995,"16,745",,"21,363",155,"4,047,470","428,407","9,447,732",Europe,47,"6,467",2
50,Lebanon,"192,139","+2,861","1,512 ",+13,"134,367","+1,599","56,260",466,"28,215",222,"2,054,573","301,710","6,809,754",Asia,35,"4,504",3
51,Slovakia,"188,099",+636,"2,521 ",+204,"130,897",+903,"54,681",452,"34,444",462,"1,457,839","266,955","5,460,995",Europe,29,"2,166",4
52,Dominican Republic,"173,331",,"2,418 ",,"132,935",,"37,978",268,"15,897",222,"879,918","80,703","10,903,198",North America,63,"4,509",12
53,Denmark,"170,787","+2,076","1,389 ",+15,"139,013","+2,415","30,385",140,"29,433",239,"10,819,739","1,864,631","5,802,617",Europe,34,"4,178",1
54,Costa Rica,"169,321",,"2,185 ",,"131,923",,"35,213",239,"33,085",427,"495,225","96,766","5,117,776",North America,30,"2,342",10
55,Bolivia,"162,661",+606,"9,201 ",+15,"133,247",+234,"20,213",71,"13,839",783,"421,980","35,902","11,753,728",South America,72,"1,277",28
56,Armenia,"160,220",+193,"2,864 ",+14,"144,831",+740,"12,525",,"54,018",966,"598,705","201,851","2,966,074",Asia,19,"1,036",5
57,Kazakhstan,"157,579",+645,"2,262 ",,"144,710",+752,"10,607",221,"8,342",120,"5,250,104","277,920","18,890,691",Asia,120,"8,351",4
58,Kuwait,"151,343",,937 ,,"147,271",,"3,135",53,"35,175",218,"1,266,950","294,465","4,302,555",Asia,28,"4,592",3
59,Lithuania,"147,997","+1,361","1,950 ",+25,"77,832",+470,"68,215",189,"54,760",722,"1,657,248","613,189","2,702,672",Europe,18,"1,386",2
60,Moldova,"146,309",+436,"3,054 ",+17,"134,021",+774,"9,234",254,"36,313",758,"563,245","139,792","4,029,157",Europe,28,"1,319",7
61,Qatar,"144,644",+207,245 ,,"141,925",+117,"2,474",33,"51,515",87,"1,257,197","447,751","2,807,805 ",Asia,19,"11,460",2
62,Tunisia,"143,544",,"4,800 ",,"107,049",,"31,695",342,"12,081",404,"630,443","53,061","11,881,451",Africa,83,"2,475",19
63,Palestine,"142,228","+1,009","1,490 ",+20,"122,976","+1,413","17,762",113,"27,558",289,"903,910","175,140","5,161,070",Asia,36,"3,464",6
64,Egypt,"142,187",,"7,805 ",,"113,898",,"20,484",90,"1,376",76,"1,000,000","9,680","103,308,753",Africa,727,"13,236",103
65,Greece,"140,526",+427,"5,011 ",+54,"9,989",,"125,526",407,"13,516",482,"3,432,711","330,166","10,396,910",Europe,74,"2,075",3
66,Guatemala,"138,656",+181,"4,835 ",+2,"127,797",+347,"6,024",5,"7,668",267,"643,185","35,569","18,082,914",North America,130,"3,740",28
67,Oman,"129,584",+180,"1,502 ",+1,"122,372",+106,"5,710",29,"25,056",290,"571,472","110,497","5,171,844",Asia,40,"3,443",9
68,Myanmar,"126,935",+590,"2,744 ",+16,"110,200",+652,"13,991",,"2,325",50,"1,884,619","34,520","54,595,633",Asia,430,"19,896",29
69,Ethiopia,"125,919",+297,"1,950 ",+2,"112,610",+243,"11,359",262,"1,082",17,"1,822,122","15,655","116,394,334",Africa,924,"59,689",64
70,Slovenia,"125,858",+772,"2,838 ",+35,"103,467",+360,"19,553",194,"60,535","1,365","684,260","329,116","2,079,084",Europe,17,733,3
71,Honduras,"123,369",+225,"3,180 ",+7,"57,348",,"62,841",161,"12,356",318,"308,510","30,899","9,984,314",North America,81,"3,140",32
72,Malaysia,"120,818","+1,741",501 ,+7,"98,228","+1,010","22,089",122,"3,709",15,"3,435,694","105,466","32,576,321",Asia,270,"65,023",9
73,Venezuela,"114,230",,"1,034 ",,"108,268",,"4,928",71,"4,023",36,"2,417,898","85,153","28,394,622",South America,249,"27,461",12
74,Bosnia and Herzegovina,"112,645",,"4,131 ",,"77,891",,"30,623",,"34,445","1,263","517,161","158,137","3,270,331",Europe,29,792,6
75,Paraguay,"109,073",,"2,292 ",,"84,837",,"21,944",156,"15,198",319,"565,803","78,836","7,176,992",South America,66,"3,131",13
76,Ireland,"107,997","+6,110","2,265 ",+6,"23,364",,"82,368",70,"21,748",456,"2,472,132","497,832","4,965,795",Europe,46,"2,192",2
77,Libya,"101,975",+561,"1,526 ",+16,"75,288",+907,"25,161",,"14,739",221,"556,616","80,451","6,918,653",Africa,68,"4,534",12
78,Algeria,"100,408",,"2,772 ",,"67,808",,"29,828",42,"2,269",63,,,"44,251,026",Africa,441,"15,964",
79,Kenya,"96,908",+106,"1,686 ",+1,"79,257",+184,"15,965",28,"1,782",31,"1,059,006","19,479","54,367,707",Africa,561,"32,247",51
80,Bahrain,"93,478",,352 ,,"90,686",,"2,440",13,"54,001",203,"2,393,449","1,382,660","1,731,047",Asia,19,"4,918",1
81,Nigeria,"90,080",,"1,311 ",,"75,044",,"13,725",10,432,6,"955,429","4,578","208,706,561",Africa,"2,317","159,196",218
82,North Macedonia,"84,024",,"2,530 ",,"62,929",,"18,565",138,"40,332","1,214","404,347","194,087","2,083,330",Europe,25,823,5
83,Kyrgyzstan,"81,388",+83,"1,360 ",+1,"76,728",+165,"3,300",50,"12,372",207,"597,798","90,870","6,578,633",Asia,81,"4,837",11
84,Uzbekistan,"77,258",+27,614 ,,"75,437",+79,"1,207",156,"2,292",18,"1,377,915","40,870","33,714,902",Asia,436,"54,910",24
85,S. Korea,"64,264","+1,020",981 ,+19,"45,240",+733,"18,043",351,"1,253",19,"4,376,608","85,328","51,291,756",Asia,798,"52,285",12
86,Albania,"59,623",+185,"1,199 ",+6,"34,996",+348,"23,428",39,"20,730",417,"264,984","92,130","2,876,187",Europe,48,"2,399",11
87,Singapore,"58,721",+24,29 ,,"58,497",+10,195,1,"9,997",5,"5,426,351","923,829","5,873,764",Asia,100,"202,544",1
88,Ghana,"55,168",,335 ,,"53,928",,905,12,"1,757",11,"672,364","21,413","31,399,846",Africa,569,"93,731",47
89,Afghanistan,"53,011",+102,"2,237 ",+7,"42,530",+125,"8,244",93,"1,346",57,"205,798","5,227","39,369,630",Asia,743,"17,599",191
90,Norway,"51,034",+318,449 ,+13,"37,658",,"12,927",26,"9,376",82,"2,857,808","525,060","5,442,821",Europe,107,"12,122",2
91,Montenegro,"49,630",+435,692 ,+3,"39,877",+530,"9,061",68,"79,015","1,102","186,156","296,376","628,107",Europe,13,908,3
92,El Salvador,"47,087",+284,"1,364 ",+6,"42,004",+217,"3,719",59,"7,241",210,"631,180","97,061","6,502,899",North America,138,"4,768",10
93,Luxembourg,"46,986",+67,508 ,+2,"43,364","+2,386","3,114",34,"74,448",805,"1,684,316","2,668,735","631,129",Europe,13,"1,242",0
94,Sri Lanka,"45,242",+468,215 ,+2,"37,817",+565,"7,210",,"2,108",10,"1,275,736","59,450","21,459,073",Asia,474,"99,810",17
95,Latvia,"43,118",+621,692 ,+12,"30,892",+391,"11,534",66,"22,991",369,"894,919","477,176","1,875,447",Europe,43,"2,710",2
