#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
96,Finland,"36,919",+147,565 ,+4,"29,000",,"7,354",31,"6,658",102,"2,495,178","449,977","5,545,121",Europe,150,"9,814",2
97,Uganda,"36,050",+128,274 ,,"12,267",+101,"23,509",,776,6,"758,383","16,322","46,462,737",Africa,"1,289","169,572",61
98,Estonia,"29,521",+390,251 ,+7,"19,453",+130,"9,817",40,"22,247",189,"645,986","486,805","1,326,991",Europe,45,"5,287",2
99,Australia,"28,504",+21,909 ,,"25,778",,"1,817",,"1,111",35,"11,495,155","448,153","25,650,080",Australia/Oceania,900,"28,218",2
100,Cameroon,"26,848",,448 ,,"24,892",,"1,508",46,999,17,"149,000","5,544","26,877,828",Africa,"1,001","59,995",180
101,Namibia,"25,386",+270,218 ,+3,"21,167",+112,"4,001",39,"9,900",85,"215,409","84,008","2,564,148",Africa,101,"11,762",12
102,Cyprus,"23,974",,131 ,,"2,057",,"21,786",45,"19,783",108,"762,356","629,092","1,211,835",Asia,51,"9,251",2
103,Sudan,"23,316",,"1,468 ",,"13,524",,"8,324",,526,33,,,"44,364,242",Africa,"1,903","30,221",
104,Ivory Coast,"22,648",,138 ,,"21,998",,512,,848,5,"262,407","9,826","26,706,463",Africa,"1,179","193,525",102
105,Zambia,"21,993",+411,398 ,+4,"19,229",+146,"2,366",,"1,180",21,"629,236","33,754","18,641,952",Africa,848,"46,839",30
106,Uruguay,"20,823",,204 ,,"15,125",,"5,494",73,"5,984",59,"654,191","187,993","3,479,877",South America,167,"17,058",5
107,Senegal,"19,803",+106,424 ,+3,"17,615",+100,"1,764",54,"1,167",25,"275,973","16,267","16,965,333",Africa,857,"40,013",61
108,Mozambique,"19,463",+154,171 ,+2,"16,828",+63,"2,464",,614,5,"277,452","8,754","31,694,232",Africa,"1,628","185,346",114
109,DRC,"18,153",+51,599 ,+3,"14,723",+7,"2,831",,200,7,,,"90,923,132",Africa,"5,009","151,792",
110,Madagascar,"17,767",,262 ,,"17,298",,207,16,633,9,"101,223","3,609","28,048,413",Africa,"1,579","107,055",277
111,Angola,"17,642",,408 ,,"11,223",,"6,011",9,529,12,"174,111","5,216","33,377,270",Africa,"1,892","81,807",192
112,French Polynesia,"16,926",,114 ,,"4,842",,"11,970",24,"60,078",405,"26,355","93,545","281,736",Australia/Oceania,17,"2,471",11
113,Botswana,"15,368",+563,45 ,+3,"12,481",+345,"2,842",1,"6,469",19,"553,859","233,148","2,375,571",Africa,155,"52,790",4
114,Zimbabwe,"15,265",,380 ,,"11,574",,"3,311",,"1,020",25,"206,035","13,761","14,972,513",Africa,981,"39,401",73
115,Mauritania,"14,794",,358 ,,"12,136",,"2,300",65,"3,140",76,"125,644","26,670","4,710,988",Africa,318,"13,159",37
116,Maldives,"13,893",+26,48 ,,"13,204",+13,641,29,"25,475",88,"325,587","597,018","545,355",Asia,39,"11,362",2
117,Guinea,"13,799",+11,81 ,,"13,186",+14,532,24,"1,037",6,"108,129","8,123","13,311,428",Africa,965,"164,339",123
118,French Guiana,"13,374",+86,72 ,+1,"9,995",,"3,307",5,"44,202",238,"104,387","345,003","302,568",South America,23,"4,202",3
119,Tajikistan,"13,300",,90 ,,"13,018",+38,192,,"1,379",9,,,"9,645,477",Asia,725,"107,172",
120,Malta,"13,230",+148,222 ,+2,"11,386",+111,"1,622",18,"29,922",502,"524,256","1,185,713","442,144",Europe,33,"1,992",1
121,Jamaica,"13,203",+154,304 ,,"10,973",+140,"1,926",8,"4,449",102,"140,690","47,406","2,967,763",North America,225,"9,762",21
122,Cuba,"12,740",+316,147 ,,"10,837",+161,"1,756",20,"1,125",13,"1,523,288","134,530","11,323,076",North America,889,"77,028",7
123,Cabo Verde,"11,920",,113 ,,"11,580",,227,23,"21,322",202,"107,817","192,856","559,054",Africa,47,"4,947",5
124,Syria,"11,710",,729 ,,"5,546",,"5,435",,661,41,,,"17,714,339",Asia,"1,513","24,300",
125,Belize,"10,901",,250 ,,"9,994",,657,6,"27,166",623,"59,978","149,469","401,274",North America,37,"1,605",7
126,Haiti,"10,127",,236 ,,"8,672",,"1,219",,883,21,"42,080","3,668","11,473,061",North America,"1,133","48,615",273
127,Eswatini,"9,943",,231 ,,"7,113",,"2,599",67,"8,525",198,"96,091","82,392","1,166,268",Africa,117,"5,049",12
128,Gabon,"9,571",,64  ,,"9,388",,119,6,"4,250",28,"371,281","164,857","2,252,146",Africa,235,"35,190",6
129,Réunion,"9,118",+81,42 ,,"8,706",,370,4,"10,147",47,"61,124","68,024","898,566",Africa,99,"21,394",15
130,Hong Kong,"9,018",+53,151 ,+1,"8,055",+44,812,50,"1,198",20,"5,548,765","737,090","7,527,937",Asia,835,"49,854",1
131,Rwanda,"8,676",,101 ,,"6,752",,"1,823",,662,8,"738,785","56,338","13,113,530",Africa,"1,511","129,837",18
132,Guadeloupe,"8,660",,154 ,,"2,242",,"6,264",3,"21,641",385,"100,771","251,827","400,159",North America,46,"2,598",4
133,Thailand,"8,439",+745,65 ,+1,"4,352",+15,"4,022",1,121,0.9,"1,217,873","17,426","69,889,474",Asia,"8,282","1,075,223",57
134,Andorra,"8,249",+57,84 ,,"7,548",+31,617,15,"106,675","1,086","180,088","2,328,885","77,328",Europe,9,921,0
135,Bahamas,"7,914",,175 ,,"6,239",,"1,500",14,"20,028",443,"52,840","133,720","395,154",North America,50,"2,258",7
136,Mali,"7,260",+7,279 ,+1,"4,994",+81,"1,987",,353,14,"136,739","6,656","20,542,927",Africa,"2,830","73,631",150
137,Trinidad and Tobago,"7,168",,127 ,,"6,690",,351,3,"5,113",91,"72,623","51,807","1,401,803",North America,196,"11,038",19
138,Congo,"7,107",,108 ,,"5,846",,"1,153",,"1,272",19,"72,766","13,026","5,586,336",Africa,786,"51,725",77
139,Burkina Faso,"7,051",,86 ,,"5,259",,"1,706",,333,4,,,"21,190,636",Africa,"3,005","246,403",
140,Malawi,"6,935",+91,196 ,+1,"5,718",+3,"1,021",4,358,10,"88,153","4,549","19,378,099",Africa,"2,794","98,868",220
141,Suriname,"6,393",,123 ,,"5,883",,387,7,"10,848",209,"27,235","46,215","589,306",South America,92,"4,791",22
142,Guyana,"6,358",,164 ,,"5,899",,295,3,"8,064",208,"38,622","48,982","788,488",South America,124,"4,808",20
143,Martinique,"6,091",,43 ,,98,,"5,950",4,"16,238",115,"75,034","200,029","375,116",North America,62,"8,724",5
144,Nicaragua,"6,046",,165 ,,"4,225",,"1,656",,907,25,,,"6,664,556",North America,"1,102","40,391",
145,Mayotte,"6,045",+142,56 ,+1,"2,964",,"3,025",4,"21,892",203,"37,719","136,602","276,124",Africa,46,"4,931",7
146,Djibouti,"5,846",+4,61 ,,"5,747",+6,38,,"5,874",61,"101,163","101,643","995,277",Africa,170,"16,316",10
147,Iceland,"5,795",+41,29 ,,"5,665",+87,101,,"16,926",85,"441,496","1,289,525","342,371",Europe,59,"11,806",1
148,Aruba,"5,564",,49 ,,"5,209",,306,4,"52,001",458,"67,930","634,878","106,997",North America,19,"2,184",2
149,Equatorial Guinea,"5,279",+2,86 ,,"5,143",+7,50,,"3,702",60,"77,256","54,177","1,425,990",Africa,270,"16,581",18
150,CAR,"4,963",,63 ,,"1,924",,"2,976",2,"1,019",13,"32,711","6,714","4,872,207",Africa,982,"77,337",149
151,Somalia,"4,714",,130 ,,"3,612",,972,,293,8,,,"16,115,434",Africa,"3,419","123,965",
152,Curaçao,"4,317",,16 ,,"3,170",,"1,131",5,"26,253",97,"36,312","220,828","164,436",North America,38,"10,277",5
153,Gambia,"3,800",,124 ,,"3,669",,7,1,"1,551",51,"30,012","12,246","2,450,687",Africa,645,"19,764",82
154,Togo,"3,702",,68 ,,"3,474",,160,,442,8,"180,510","21,550","8,376,315",Africa,"2,263","123,181",46
155,South Sudan,"3,589",+13,63 ,,"3,131",,395,2,319,6,"77,161","6,852","11,260,341",Africa,"3,137","178,736",146
156,Niger,"3,465",,110 ,,"1,986",,"1,369",3,141,4,"63,573","2,580","24,642,742",Africa,"7,112","224,025",388
157,Benin,"3,251",,44 ,,"3,061",,146,,265,4,"379,760","30,919","12,282,556",Africa,"3,778","279,149",32
158,Lesotho,"3,206",,65 ,,"1,496",,"1,645",,"1,491",30,"33,345","15,503","2,150,893",Africa,671,"33,091",65
159,Channel Islands,"3,121",,60 ,,"2,621",,440,10,"17,867",343,"270,421","1,548,111","174,678",Europe,56,"2,911",1
160,Sierra Leone,"2,673",,76 ,,"1,910",,687,,332,9,,,"8,058,777",Africa,"3,015","106,037",
161,Gibraltar,"2,513",+107,8 ,,"1,504",+57,"1,001",49,"74,601",237,"124,811","3,705,130","33,686",Europe,13,"4,211",0
162,San Marino,"2,493",+65,62 ,+3,"2,127",+85,304,10,"73,395","1,825","27,362","805,547","33,967",Europe,14,548,1
163,Guinea-Bissau,"2,455",,45 ,,"2,398",,12,5,"1,233",23,"37,546","18,854","1,991,392",Africa,811,"44,253",53
164,Liechtenstein,"2,224",+2,41 ,+2,"1,979",+169,204,13,"58,244","1,074","20,649","540,776","38,184",Europe,17,931,2
165,Chad,"2,213",,104 ,,"1,720",,389,,133,6,,,"16,661,919",Africa,"7,529","160,211",
166,New Zealand,"2,181",,25 ,,"2,084",,72,,436,5,"1,414,422","282,766","5,002,100 ",Australia/Oceania,"2,293","200,084",4
167,Yemen,"2,101",,610 ,,"1,399",,92,23,70,20,"17,404",577,"30,156,738",Asia,"14,354","49,437","1,733"
168,Liberia,"1,779",,83 ,,"1,406",,290,2,348,16,"39,870","7,791","5,117,468",Africa,"2,877","61,656",128
169,Vietnam,"1,497",+3,35 ,,"1,339",,123,,15,0.4,"1,431,631","14,641","97,784,042",Asia,"65,320","2,793,830",68
170,Sint Maarten,"1,462",,27 ,,"1,360",,75,3,"33,903",626,"10,242","237,507","43,123",North America,29,"1,597",4
171,Eritrea,"1,363",+43,3 ,,694,+18,666,,382,0.8,"23,693","6,634","3,571,296",Africa,"2,620","1,190,432",151
172,Mongolia,"1,286",+23,1 ,,878,+9,407,9,389,0.3,"649,328","196,469","3,304,998",Asia,"2,570","3,304,998",5
173,Sao Tome and Principe,"1,024",,17 ,,981,,26,,"4,629",77,"7,498","33,895","221,214",Africa,216,"13,013",30
174,Saint Martin,995,,12 ,,855,,128,7,"25,513",308,"11,186","286,828","38,999",North America,39,"3,250",3
175,Turks and Caicos,910,+1,6 ,,783,,121,2,"23,344",154,"11,884","304,851","38,983",North America,43,"6,497",3
176,Monaco,907,,3 ,,733,,171,1,"23,030",76,"51,953","1,319,140","39,384",Europe,43,"13,128",1
177,Comoros,864,,13  ,,732,,119,,983,15,,,"878,934",Africa,"1,017","67,610",
178,Burundi,833,,2 ,,687,,144,,69,0.2,"76,962","6,377","12,067,986",Africa,"14,487","6,033,993",157
179,Taiwan,815,+3,7 ,,696,+7,112,,34,0.3,"127,608","5,353","23,838,813",Asia,"29,250","3,405,545",187
180,Papua New Guinea,799,,9 ,,755,,35,,88,1.0,"39,761","4,402","9,032,574",Australia/Oceania,"11,305","1,003,619",227
181,Bhutan,734,+18, ,,453,+3,281,,946,,"301,076","388,023","775,923",Asia,"1,057",,3
182,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,
183,Bermuda,622,,10 ,,478,,134,4,"10,006",161,"143,935","2,315,557","62,160",North America,100,"6,216",0
184,Faeroe Islands,622,+2, ,,566,+2,56,2,"12,705",,"201,495","4,115,671","48,958",Europe,79,,0
185,Barbados,556,,7 ,,319,,230,1,"1,934",24,"70,257","244,325","287,555",North America,517,"41,079",4
186,Mauritius,527,,10 ,,496,,21,,414,8,"289,552","227,484","1,272,847",Africa,"2,415","127,285",4
187,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,586,477",Africa,"119,030","2,885,070",
188,Cambodia,382,+1, ,,362,,20,,23,,"337,992","20,075","16,836,226",Asia,"44,074",,50
189,Isle of Man,380,,25 ,,349,,6,,"4,457",293,"21,116","247,660","85,262",Europe,224,"3,410",4
190,Saint Lucia,353,,5 ,,289,,59,,"1,918",27,"19,814","107,653","184,055",North America,521,"36,811",9
191,Cayman Islands,338,,2 ,,294,,42,1,"5,112",30,"59,990","907,372","66,114",North America,196,"33,057",1
192,Seychelles,322,+25,1 ,+1,222,+8,99,,"3,264",10,"5,200","52,708","98,657",Africa,306,"98,657",19
193,Caribbean Netherlands,196,,3 ,,180,,13,,"7,439",114,"4,335","164,535","26,347",North America,134,"8,782",6
194,St. Barth,190,,1 ,,172,,17,,"19,207",101,"8,518","861,100","9,892",North America,52,"9,892",1
195,Brunei ,172,,3 ,,149,,20,,391,7,"83,775","190,567","439,609",Asia,"2,556","146,536",5
196,Antigua and Barbuda,160,+1,5 ,,148,,7,1,"1,627",51,"6,651","67,631","98,342",North America,615,"19,668",15
197,Grenada,127,,1 ,,107,,19,,"1,126",9,"6,781","60,121","112,789",North America,888,"112,789",17
198,St. Vincent Grenadines,124,, ,,100,,24,,"1,116",,"15,551","139,948","111,120",North America,896,,7
199,Dominica,88,, ,,83,,5,,"1,221",,"6,618","91,818","72,077",North America,819,,11
200,British Virgin Islands,86,,1 ,,74,,11,,"2,835",33,"10,483","345,586","30,334",North America,353,"30,334",3
201,Fiji,49,,2 ,,44,,3,,54,2,"19,883","22,098","899,753",Australia/Oceania,"18,362","449,877",45
202,Timor-Leste,49,+3, ,,37,+5,12,,37,,"16,885","12,685","1,331,120",Asia,"27,166",,79
203,Macao,46,, ,,46,,0,,70,,"4,238","6,482","653,822",Asia,"14,214",,154
204,Laos,41,, ,,40,,1,,6,,"93,204","12,717","7,329,037",Asia,"178,757",,79
205,New Caledonia,40,, ,,38,,2,,139,,"19,069","66,467","286,893",Australia/Oceania,"7,172",,15
206,Saint Kitts and Nevis,33,, ,,31,,2,,618,,"5,593","104,755","53,391",North America,"1,618",,10
207,Falkland Islands,29,, ,,17,,12,,"8,213",,"5,467","1,548,287","3,531",South America,122,,1
208,Greenland,27,, ,,21,,6,,475,,"15,677","275,906","56,820",North America,"2,104",,4
209,Vatican City,27,, ,,15,,12,,"33,666",,,,802,Europe,30,,
210,Solomon Islands,17,, ,,10,,7,,24,,"4,500","6,472","695,349",Australia/Oceania,"40,903",,155
211,Saint Pierre Miquelon,16,, ,,14,,2,,"2,769",,"3,196","553,037","5,779",North America,361,,2
212,Anguilla,15,, ,,13,,2,,995,,"5,337","354,124","15,071",North America,"1,005",,3
213,Montserrat,13,,1 ,,12,,0,,"2,603",200,626,"125,350","4,994",North America,384,"4,994",8
214,Western Sahara,10,,1 ,,8,,1,,17,2,,,"604,719",Africa,"60,472","604,719",
215,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,
216,Marshall Islands,4,, ,,4,,0,,67,,,,"59,393",Australia/Oceania,"14,848",,
217,Wallis and Futuna,4,, ,,1,,3,,359,,"1,149","103,170","11,137",Australia/Oceania,"2,784",,10
218,Samoa,2,, ,,2,,0,,10,,,,"199,086",Australia/Oceania,"99,543",,
219,Vanuatu,1,, ,,1,,0,,3,,,,"310,755",Australia/Oceania,"310,755",,
220,China,"87,150",+33,"4,634 ",,"82,105",+17,411,10,61,3,"160,000,000","111,163","1,439,323,776 ",Asia,"16,515","310,601",9
,Total:,"85,778,051","+283,095","1,855,641","+5,096","60,652,889","+206,305","23,269,521","107,394","11,004.5",238.1,,,,All,"
",,
