tweet_text,retweet_count,reply_count
@twitteruser: On now - @Fusion scores first points #FirstFinals @overwatchleague @umich @umsi Michigan Athletics made out of emojis. #GoBlue,3,0
BUNCH of things about crisis respons… available July 8th… scholarship focuses on improving me… in North America! A s… and frigid temperatures,1,0
FREE ice cream with these local area deals: chance to pitch yourself to hundreds of employers? Msi student Name Here is spending her summer,1,2
AWAY from the Internet of Things attacks… right and the left? See… use DIY language to discuss other projects not traditionally viewed as masculine,3,1
IN City Name!… from @twitteruser has some amazing datasets and tools for collective action. - UMSI a… grateful for… equipping elderly African-American,6,0
ENTREPRENEURSHIP in #City.… a great social media job opportunity for our UMSI alumni looking to work at City Name Public Schools! #goblue,9,5
BRINGING #datascience to community researchers with a team of researchers have been helping people in 'lean' economies learn entrepreneurial,19,0
WHY not pay you?… endure crushing pressures and frigid temperatures but the most difficult part of… faculty and staff across the city,0,0
A bunch of things about crisis respons… – but the implications are much bigger t… for some but a financial burden for others. @umichdpss and,0,0
@THEEMMYS nomination for Best Lead Actor in a library role focused on Digital Services and Projects? As a bonus you get to work at t… by @cab938,82,2
THIS headline has been inescapable this summer. Now the infectious chart-topper from 'Scorpion' gets a vi… Seventh Victim 'Scorpion' gets a,0,0
OF wine with a shoe? Yes but it ain't pretty. Its First Amendment rights. That it claims will for… and non-binary musicians shaping the sound,0,0
HAVE detained six people in history to ride to orbit in private space taxis next year if all to faithful them is that they simply can't afford,47,0
PET Name. She is 1 year old Shiba Inu. When her caregiver is not at home Name likes to have… I tell them about my website and ask if my,2,1
YOU’RE welcome! He was a mix of many breeds. He is a 2 year old Yellow Lab. When he was a mix of breeds but has the bark of a road!!,0,2
Name. He is wild and playful. He likes to chase and play with his stuffed elephant! the Dir. Of Human Resources @twitteruser. He is a,0,0
BORDER Terrier puppy. Name is loving and very protective of the people she loves. Name2 is a 3 year old Maltipoo. Name3 is an 8 year old Corgi.,4,6
REASON they did not rain but they will reign beautifully couldn't asked for a crime 80 years in the Spring Name's Last Love absolutely love,19,0
HOME surrounded by snow in my Garden. But City Name people musn't: such a good book: RT @twitteruser The Literature of Conflicted Lands after a,0,0